airfoil,Re,alpha_deg,CL,CD,CM,LD
supermarine371ii,100000,-6.0,-0.544488,0.05467,-0.024603,-9.96
supermarine371ii,100000,-5.5,-0.531955,0.048218,-0.019447,-11.03
supermarine371ii,100000,-5.0,-0.513921,0.041907,-0.01339,-12.26
supermarine371ii,100000,-4.5,-0.498561,0.035748,-0.011483,-13.95
supermarine371ii,100000,-4.0,-0.46608,0.029225,-0.007504,-15.95
supermarine371ii,100000,-3.5,-0.42784,0.024902,-0.00363,-17.18
supermarine371ii,100000,-3.0,-0.389473,0.021943,-0.000125,-17.75
supermarine371ii,100000,-2.5,-0.357656,0.019559,0.00472,-18.29
supermarine371ii,100000,-2.0,-0.246104,0.016631,-0.00573,-14.8
supermarine371ii,100000,-1.5,-0.133115,0.016936,-0.014711,-7.86
supermarine371ii,100000,-1.0,-0.074102,0.016932,-0.015383,-4.38
supermarine371ii,100000,-0.5,-0.0294,0.016843,-0.01494,-1.75
supermarine371ii,100000,0.0,0.014676,0.016861,-0.014945,0.87
supermarine371ii,100000,0.5,0.060075,0.01698,-0.015326,3.54
supermarine371ii,100000,1.0,0.107425,0.017207,-0.016097,6.24
supermarine371ii,100000,1.5,0.158265,0.017569,-0.017491,9.01
supermarine371ii,100000,2.0,0.215857,0.018048,-0.019763,11.96
supermarine371ii,100000,2.5,0.288167,0.018246,-0.022946,15.79
supermarine371ii,100000,3.0,0.391057,0.016751,-0.026953,23.34
supermarine371ii,100000,3.5,0.486017,0.015782,-0.026833,30.8
supermarine371ii,100000,4.0,0.511706,0.018887,-0.017891,27.09
supermarine371ii,100000,4.5,0.555988,0.02154,-0.012926,25.81
supermarine371ii,100000,5.0,0.612215,0.025597,-0.011206,23.92
supermarine371ii,100000,5.5,0.660702,0.031442,-0.008944,21.01
supermarine371ii,100000,6.0,0.702839,0.039739,-0.006639,17.69
supermarine371ii,100000,6.5,0.722639,0.047538,-0.005548,15.2
supermarine371ii,100000,7.0,0.741642,0.054167,-0.001824,13.69
supermarine371ii,100000,7.5,0.747665,0.061794,0.002165,12.1
supermarine371ii,100000,8.0,0.739278,0.07014,0.004371,10.54
supermarine371ii,100000,8.5,0.723022,0.079093,0.003568,9.14
supermarine371ii,100000,9.0,0.707473,0.088781,6.2e-05,7.97
supermarine371ii,100000,9.5,0.697767,0.09886,-0.004418,7.06
supermarine371ii,100000,10.0,0.693421,0.108632,-0.008742,6.38
supermarine371ii,100000,10.5,0.692682,0.117832,-0.012829,5.88
supermarine371ii,100000,11.0,0.69456,0.126553,-0.016865,5.49
supermarine371ii,100000,11.5,0.698529,0.134934,-0.020959,5.18
supermarine371ii,100000,12.0,0.704203,0.143066,-0.025142,4.92
supermarine371ii,100000,12.5,0.71126,0.151002,-0.029421,4.71
supermarine371ii,100000,13.0,0.719443,0.158768,-0.03381,4.53
supermarine371ii,100000,13.5,0.72856,0.166374,-0.038343,4.38
supermarine371ii,100000,14.0,0.738469,0.173827,-0.043076,4.25
supermarine371ii,100000,14.5,0.74905,0.181138,-0.048087,4.14
supermarine371ii,100000,15.0,0.76018,0.188338,-0.053481,4.04
supermarine371ii,100000,15.5,0.771706,0.195488,-0.059394,3.95
supermarine371ii,100000,16.0,0.783441,0.202689,-0.065987,3.87
supermarine371ii,100000,16.5,0.795155,0.210089,-0.073448,3.78
supermarine371ii,100000,17.0,0.806583,0.217891,-0.081976,3.7
supermarine371ii,100000,17.5,0.817436,0.226355,-0.091752,3.61
supermarine371ii,100000,18.0,0.827438,0.235792,-0.102899,3.51
supermarine371ii,100000,18.5,0.836369,0.246538,-0.115418,3.39
supermarine371ii,100000,19.0,0.84413,0.258909,-0.129144,3.26
supermarine371ii,100000,19.5,0.850786,0.273134,-0.143717,3.11
supermarine371ii,100000,20.0,0.856592,0.289287,-0.158624,2.96
supermarine371ii,100000,20.5,0.861944,0.307242,-0.173296,2.81
supermarine371ii,100000,21.0,0.8673,0.326682,-0.187222,2.65
supermarine371ii,100000,21.5,0.873065,0.347162,-0.200046,2.51
supermarine371ii,100000,22.0,0.879518,0.368209,-0.211597,2.39
supermarine371ii,100000,22.5,0.886788,0.389406,-0.221868,2.28
supermarine371ii,100000,23.0,0.894867,0.410449,-0.230963,2.18
supermarine371ii,100000,23.5,0.903656,0.431154,-0.239044,2.1
